iter	Passed	Remaining
447	1198	1477
448	1200	1473
449	1202	1469
450	1209	1471
451	1210	1467
452	1212	1463
453	1213	1459
454	1214	1454
455	1215	1450
456	1217	1446
457	1218	1442
458	1223	1442
459	1225	1438
460	1226	1433
461	1227	1429
462	1229	1425
463	1232	1423
464	1233	1419
465	1239	1420
466	1241	1416
467	1242	1412
468	1243	1408
469	1244	1403
470	1246	1399
471	1249	1397
472	1257	1400
473	1258	1396
474	1259	1392
475	1261	1388
476	1262	1384
477	1264	1381
478	1270	1381
479	1272	1378
480	1274	1375
481	1276	1371
482	1277	1367
483	1279	1364
484	1281	1360
485	1284	1358
486	1285	1354
487	1286	1350
488	1288	1346
489	1289	1342
490	1291	1339
491	1293	1335
492	1294	1331
493	1298	1329
494	1300	1326
495	1301	1322
496	1303	1319
497	1304	1315
498	1306	1311
499	1307	1307
500	1309	1304
501	1316	1306
502	1320	1304
503	1322	1301
504	1325	1299
505	1331	1300
506	1334	1297
507	1336	1294
508	1338	1290
509	1339	1287
510	1341	1283
511	1345	1282
512	1349	1281
513	1350	1277
514	1352	1273
515	1353	1269
516	1355	1266
517	1356	1262
518	1367	1267
519	1369	1264
520	1371	1260
521	1382	1265
522	1384	1262
523	1385	1258
524	1390	1258
525	1392	1254
526	1447	1299
527	1450	1296
528	1453	1294
529	1461	1296
530	1478	1305
531	1508	1327
532	1554	1361
533	1579	1378
534	1610	1399
535	1615	1398
536	1617	1394
537	1623	1393
538	1662	1422
539	1671	1423
540	1705	1447
541	1709	1444
542	1714	1443
543	1766	1480
544	1778	1484
545	1792	1490
546	1799	1490
547	1809	1492
548	1813	1490
549	1819	1488
550	1824	1486
551	1878	1524
552	1880	1519
553	1888	1520
554	1890	1515
555	1894	1512
556	1896	1508
557	1899	1504
558	1901	1499
559	1947	1530
560	1953	1528
561	1954	1523
562	1958	1519
563	1964	1518
564	1966	1513
565	1980	1518
566	1984	1515
567	1986	1510
568	1988	1506
569	1993	1504
570	1995	1499
571	1998	1495
572	2001	1491
573	2004	1487
574	2011	1486
575	2013	1482
576	2015	1477
577	2017	1472
578	2019	1468
579	2024	1465
580	2069	1492
581	2086	1498
582	2089	1494
583	2091	1489
584	2092	1484
585	2094	1479
586	2096	1475
587	2098	1470
588	2099	1465
589	2104	1462
590	2106	1457
591	2108	1453
592	2110	1448
593	2112	1443
594	2114	1439
595	2116	1434
596	2120	1431
597	2123	1427
598	2125	1423
599	2128	1418
600	2130	1414
601	2131	1409
602	2134	1405
603	2136	1400
604	2138	1396
605	2139	1391
606	2142	1386
607	2143	1382
608	2145	1377
609	2151	1375
610	2153	1370
611	2155	1366
612	2157	1362
613	2159	1357
614	2161	1353
615	2165	1349
616	2169	1346
617	2172	1342
618	2177	1340
619	2180	1336
620	2181	1331
621	2183	1326
622	2184	1322
623	2186	1317
624	2188	1312
625	2193	1310
626	2195	1306
627	2198	1302
628	2199	1297
629	2203	1294
630	2209	1292
631	2213	1288
632	2214	1284
633	2216	1279
634	2219	1275
635	2227	1274
636	2229	1270
637	2231	1266
638	2233	1261
639	2244	1262
640	2247	1258
641	2249	1254
642	2258	1253
643	2260	1249
644	2262	1244
645	2263	1240
646	2272	1239
647	2276	1236
648	2278	1232
649	2279	1227
650	2284	1224
651	2288	1221
652	2290	1216
653	2292	1212
654	2296	1209
655	2299	1205
656	2301	1201
657	2303	1197
658	2314	1197
659	2319	1194
660	2325	1192
661	2329	1189
662	2336	1187
663	2339	1183
664	2341	1179
665	2343	1175
666	2345	1170
667	2346	1166
668	2347	1161
669	2349	1157
670	2351	1152
671	2354	1149
672	2356	1144
673	2357	1140
674	2359	1136
675	2361	1131
676	2362	1127
677	2363	1122
678	2365	1118
679	2366	1113
680	2371	1111
681	2373	1106
682	2374	1102
683	2376	1097
684	2378	1093
685	2379	1089
686	2381	1084
687	2385	1081
688	2388	1078
689	2390	1074
690	2391	1069
691	2393	1065
692	2394	1060
693	2398	1057
694	2400	1053
695	2401	1048
696	2403	1044
697	2404	1040
698	2406	1036
699	2408	1032
700	2409	1027
701	2414	1024
702	2415	1020
703	2417	1016
704	2419	1012
705	2420	1008
706	2421	1003
707	2423	999
708	2425	995
709	2430	992
710	2431	988
711	2433	984
712	2435	980
713	2436	975
714	2437	971
715	2447	970
716	2449	966
717	2451	962
718	2453	958
719	2454	954
720	2459	951
721	2461	947
722	2462	943
723	2463	939
724	2465	935
725	2467	931
726	2468	927
727	2474	924
728	2477	920
729	2478	916
730	2480	912
731	2481	908
732	2483	904
733	2484	900
734	2489	897
735	2490	893
736	2492	889
737	2493	885
738	2495	881
739	2496	877
740	2498	873
741	2499	869
742	2501	865
743	2505	862
744	2507	858
745	2508	854
746	2510	850
747	2511	846
748	2512	842
749	2514	838
750	2515	834
751	2520	831
752	2522	827
753	2523	823
754	2525	819
755	2526	815
756	2527	811
757	2529	807
758	2530	803
759	2531	799
760	2534	796
761	2536	792
762	2537	788
763	2538	784
764	2540	780
765	2542	776
766	2543	772
767	2545	768
768	2546	764
769	2550	761
770	2551	757
771	2552	753
772	2554	750
773	2555	746
774	2557	742
775	2559	738
776	2560	734
777	2565	731
778	2567	728
779	2569	724
780	2571	720
781	2572	717
782	2578	714
783	2580	710
784	2582	707
785	2585	703
786	2586	700
787	2588	696
788	2590	692
789	2596	690
790	2598	686
791	2599	682
792	2601	678
793	2603	675
794	2604	671
795	2609	668
796	2611	665
797	2613	661
798	2616	658
799	2618	654
800	2619	650
801	2624	648
802	2626	644
803	2628	640
804	2630	637
805	2632	633
806	2633	629
807	2635	626
808	2636	622
809	2638	618
810	2640	615
811	2641	611
812	2643	608
813	2645	604
814	2646	600
815	2649	597
816	2655	594
817	2657	591
818	2659	587
819	2660	583
820	2662	580
821	2663	576
822	2671	574
823	2672	570
824	2674	567
825	2676	563
826	2678	560
827	2679	556
828	2683	553
829	2685	550
830	2687	546
831	2689	543
832	2690	539
833	2692	535
834	2704	534
835	2706	530
836	2710	527
837	2717	525
838	2719	521
839	2720	518
840	2722	514
841	2724	511
842	2725	507
843	2726	504
844	2732	501
845	2733	497
846	2735	494
847	2736	490
848	2739	487
849	2740	483
850	2741	480
851	2743	476
852	2747	473
853	2750	470
854	2752	466
855	2753	463
856	2755	459
857	2756	456
858	2757	452
859	2761	449
860	2763	446
861	2766	442
862	2768	439
863	2769	436
864	2771	432
865	2772	429
866	2776	425
867	2781	422
868	2782	419
869	2784	416
870	2787	412
871	2788	409
872	2794	406
873	2797	403
874	2798	399
875	2800	396
876	2802	392
877	2803	389
878	2807	386
879	2808	383
880	2810	379
881	2812	376
882	2814	372
883	2815	369
884	2816	366
885	2818	362
886	2822	359
887	2824	356
888	2826	352
889	2828	349
890	2829	346
891	2831	342
892	2832	339
893	2834	336
894	2837	332
895	2841	329
896	2843	326
897	2845	323
898	2848	319
899	2850	316
900	2855	313
901	2860	310
902	2862	307
903	2868	304
904	2872	301
905	2877	298
906	2880	295
907	2885	292
908	2887	289
909	2889	285
910	2891	282
911	2896	279
912	2899	276
913	2901	272
914	2903	269
915	2906	266
916	2907	263
917	2913	260
918	2916	257
919	2917	253
920	2920	250
921	2921	247
922	2923	243
923	2926	240
924	2928	237
925	2929	234
926	2931	230
927	2933	227
928	2934	224
929	2935	220
930	2937	217
931	2942	214
932	2944	211
933	2946	208
934	2948	204
935	2949	201
936	2951	198
937	2953	195
938	2959	192
939	2961	189
940	2963	185
941	2965	182
942	2966	179
943	2968	176
944	2969	172
945	2973	169
946	2975	166
947	2977	163
948	2980	160
949	2982	156
950	2986	153
951	2989	150
952	2992	147
953	2995	144
954	2996	141
955	2997	137
956	2999	134
957	3005	131
958	3007	128
959	3008	125
960	3010	122
961	3012	118
962	3014	115
963	3018	112
964	3020	109
965	3021	106
966	3023	103
967	3024	99
968	3026	96
969	3028	93
970	3029	90
971	3032	87
972	3036	84
973	3037	81
974	3039	77
975	3040	74
976	3042	71
977	3043	68
978	3044	65
979	3048	62
980	3050	59
981	3051	55
982	3052	52
983	3054	49
984	3055	46
985	3056	43
986	3058	40
987	3059	37
988	3063	34
989	3064	30
990	3066	27
991	3067	24
992	3068	21
993	3070	18
994	3071	15
995	3072	12
996	3075	9
997	3080	6
998	3082	3
999	3084	0
